# V [mV], I [mA], mean ADC count, median ADC count
0, 0, 0, 0
240, 52, 161.6613, 162
480, 101, 363.8392, 364
700, 150, 558.653, 559
950, 201, 768.515, 769
1410, 301, 1166.164, 1166
1880, 400, 1573.642, 1574
2350, 502, 1979.738, 1980
2810, 600, 2377.407, 2377
3290, 701, 2789.193, 2789
3750, 800, 3182.719, 3183
